id,userName,date,score,text,sentimiento,appId,id_anotador,notas,thumbsUp
1c43d244-c1e0-4d72-acb3-512c25c8269f,Gustavo Bauer,2025-10-23,4,"poner dual subtitulos gracias, claro eso la app es un 5 de 5",positivo,com.netflix.mediaclient,,,0
438d1d06-9818-4f5b-bd2d-5a859033520b,Francisco Giuliano Oyola,2025-10-23,1,tiene muchas películas positivo,negativo,com.netflix.mediaclient,,,0
6255cef8-811e-404a-8b12-632e7d65359c,***,2025-10-23,2,se disfrazan de políticamente correctos incluyendo más mujeres y etnias pero hacen tremenda apología de la droga y el bullying. Si son tan correctos como simulan podrían empezar a avisar cuando hay escenas de maltrato o crueldad infantil y animal que afecta a un público muy amplio. Las series pasan al capítulo siguiente antes de terminar y hay que volver y seleccionar manualmente para poder ver el final 😐.,negativo,com.netflix.mediaclient,,,7
784c83e8-66f3-4524-9ff1-88e4af2001e8,Eduardo Neila,2025-10-23,1,"No para de dar problemas con android 15, basura de app",negativo,com.netflix.mediaclient,,,0
362bb8f8-23ab-43a2-8a3c-10e9612b9280,Said movie,2025-10-23,5,Netflix se genial y se cool,positivo,com.netflix.mediaclient,,,0
84dbb3b6-7785-4f8c-b81a-03a6fed01e30,Lucila Lopez,2025-10-23,1,no me deja entrar a la app Desde ningún lado 😞,negativo,com.netflix.mediaclient,,,0
1b07e270-a943-45e0-9c86-e3f8cb4bfb58,Brenda Montero,2025-10-23,5,tiene películas de terror🥶peroesicreible,positivo,com.netflix.mediaclient,,,0
1d4b2184-5ed3-4780-83a3-ed3ad0b16930,Maria cristina Contreras,2025-10-23,5,el mejor,positivo,com.netflix.mediaclient,,,0
585aad50-479a-4462-9d86-52f338bef047,Luis Alvarez,2025-10-23,1,Pésimo catálogo. Precios abusivos. Portal cinematográfico de extrema izquierda.,negativo,com.netflix.mediaclient,,,1
216ff6ed-f3f9-4b29-8425-7e65020dd43d,Rosanna Gabriela Del Rosario Beltran,2025-10-23,3,Aveces no me permite acceder a la aplicación.,neutro,com.netflix.mediaclient,,,0
f9858dd7-3254-44e7-af1e-a835276db55a,Guadalupe Reynaga alvarado,2025-10-23,5,excelente y,positivo,com.netflix.mediaclient,,,0
ab172aa3-7bee-4088-abcd-8b9415af8b29,leandro abalos,2025-10-23,3,netflix se escucha bajo en cualquier dispositivo,neutro,com.netflix.mediaclient,,,1
82d9b9e8-2d85-4082-b749-7ab5341a4027,Alonso Lianita,2025-10-23,5,es muy linda y es útil pata ver todo lo que quieras de Netflix,positivo,com.netflix.mediaclient,,,0
caa28c67-0e12-418e-bae1-1d70a5848c97,Máximo A. Conde,2025-10-23,2,"No puedo ver algunas series en mi A56, se traba a los pocos segundos de reproducción. También es molesto no tener subtítulos en mi idioma configurado, dado que la uso para practicar",negativo,com.netflix.mediaclient,,,0
337fe7fd-b3a8-497a-ab74-f6d8883ba1ba,Alejandro Luja,2025-10-23,1,malaa,negativo,com.netflix.mediaclient,,,1
f9c5bf61-e9ca-4622-96ef-297518088ce6,Milagros the kitsune,2025-10-23,1,antes miraba en esta aplicación y estaba todo bien hasta que empezó con las cancelaciones innecesarias de todas las series la serie que miraba a mis viejos fue cancelada y el anime que miraba antes también fue cancelada Y eso que todas las series que tenían para mantener a ese público a raya se han ido a diferente plataforma ya que en Netflix pone demasiado contenido preescolar para niños que nadie los pone para ver es una vergüenza totalmente,negativo,com.netflix.mediaclient,,,1
55176e3a-d113-4b7d-af9a-22fa788a8db8,Kei Ritzeĺ,2025-10-23,3,"puede subir todas las series coreanas doblada a español y puede cambiar el audio doble la a español de series coreanas que ya están publicadas por ejemplo tu sonrisa tuya, pone tu cabeza en mi hombro",neutro,com.netflix.mediaclient,,,0
45e87a48-9ad5-425a-9a39-fe76c3a1aa4b,Elizabeth Tarqui,2025-10-23,1,no me reproduce ninguna película ni serie y cuando lo hace tiene cortes,negativo,com.netflix.mediaclient,,,0
b438a01d-c4cb-4bbb-865d-46496a477bd3,Henry Paúl Bernal Trinidad,2025-10-23,2,cada vez se ponen mas estrictos para poder ver a pesar de que uno paga los servicios y ahora con sus nuevas actualizaciones ya no se puede ver por perfil cada tv que usa...actualizaciones sin sentido hacen,negativo,com.netflix.mediaclient,,,0
3a6ae8de-2d6d-4954-8590-2660704e72bf,Vicky Delgado,2025-10-23,5,muy entretenida y catalogo extenso,positivo,com.netflix.mediaclient,,,0
25344acb-f8fc-40c3-91f5-8691cbf9ad0b,josepo,2025-10-23,4,"De momento,es la mejor plataforma,mucho catálogo,publicidad responsable(ya veremos lo que dura,,) y la aplicación funciona decentemente.",positivo,com.netflix.mediaclient,,,0
8b159a43-7034-46a5-a440-5d088dfffc43,Yulieth Garcia leon,2025-10-22,1,aveces falla no se ve nada solo en negro deben de correjir los errores para que se vea porque siempre falla,negativo,com.netflix.mediaclient,,,0
79586889-8050-4dd8-b549-910d0fd4158e,Rafael chacón Salas,2025-10-22,5,excelente,positivo,com.netflix.mediaclient,,,0
7ae14e15-aa05-4897-84e2-e4bf938ef720,Ivanka Valdez,2025-10-22,5,La verdad es muy muy buena la app puedes ver muchísimas películas como por ejemplo de acción drama etc y la verdad me gusta mucho jeje 💜,positivo,com.netflix.mediaclient,,,0
17aa1c23-98ad-4274-9c71-23c0d06ef2aa,J Aaron Cruz,2025-10-22,1,muy caro y la verdad no hay películas buenas,negativo,com.netflix.mediaclient,,,0
