id,userName,date,score,text,sentimiento,appId,id_anotador,notas,thumbsUp
5f906104-19e8-491c-942b-9d586eaed3ac,Jhoan Villalobos,2025-10-23,5,muy buena aplicación no es lenta y muestra contenido interesante,positivo,com.twitter.android,,,0
cf3fda2c-2d37-4fb6-a658-a304c3e4bf55,Lidisitha Herrera,2025-10-23,5,pues me gusta,positivo,com.twitter.android,,,0
d4a4db30-1bd5-4d14-b0a8-d60cbc0fff91,Are,2025-10-23,5,buena,positivo,com.twitter.android,,,0
602f7139-2def-4686-925a-38adc363869d,Leo González,2025-10-23,4,Muy bien,positivo,com.twitter.android,,,0
3bc60596-5442-453f-a795-3cf62b31d92e,Segundo Martinez,2025-10-23,5,Kiero crear una cuenta pero no puedo,positivo,com.twitter.android,,,0
2f20bca1-54e8-412d-b8a0-f2df19b93cc4,Emmanuel Gonzalez Ortiz,2025-10-23,5,Es muy buena,positivo,com.twitter.android,,,0
b01d2cc9-f01a-49a3-af86-6e5aa39205f3,Fabian Heras,2025-10-23,5,me encanta ... super útil y segura,positivo,com.twitter.android,,,0
d46f8fd7-0302-44df-abf3-5f89252b02af,Gabriela Rangel,2025-10-23,5,exelente,positivo,com.twitter.android,,,0
dbb24e97-5168-421f-8844-7358ff0b676d,Anderlinson Henao Paez,2025-10-23,5,es una excelente aplicación,positivo,com.twitter.android,,,0
3a26df12-c0e8-44b3-95d0-b434aeb245bf,Kelvin Henríquez,2025-10-23,5,cool,positivo,com.twitter.android,,,0
6049a098-ef84-43b6-b78f-96eb98dec0ca,mexicano piel canela,2025-10-23,5,me gusta mucho,positivo,com.twitter.android,,,0
9f8695c6-8835-4cd7-9ae9-8a7225ec815a,pedro manuel borges oropeza,2025-10-23,5,exente,positivo,com.twitter.android,,,0
2262d2c9-3ac4-4829-96bc-e8a810f88cda,Alfredo Montoya,2025-10-23,4,"Debe priorizarse la libre expresión, NO A LA CENSURA!!",positivo,com.twitter.android,,,0
bc850960-7c65-4162-b9f0-224b4cc53388,Martin Zalazar,2025-10-23,1,"Desilusión total, me suspendieron la cuenta y la estoy apelando hace meses y no consigo respuesta de nada.",negativo,com.twitter.android,,,0
1ebd37c8-3e9f-41e5-b5a2-53a812f34e17,NeoDevanand,2025-10-23,5,me es util,positivo,com.twitter.android,,,0
5d94d345-6948-457d-baeb-c38907b04dc9,Carlos Gutierrez Gutierrez,2025-10-23,5,quiero ver todos los videos,positivo,com.twitter.android,,,0
f23a1872-343a-45c9-9105-397e6d9f39ba,EV-ZERO Neo,2025-10-23,1,han vuelto a la aplicación una basura,negativo,com.twitter.android,,,0
2e4b67fd-5d05-4a83-8dbc-f6429dce09df,Manuel Barron,2025-10-23,5,iena aplicasion miy beunos videos,positivo,com.twitter.android,,,0
15b8958a-09dd-481c-b450-93196def1393,Esteban Martinez,2025-10-23,5,Me encanta decir mi opinion sin miedo a que me funen y que exista gente que piense como yo,positivo,com.twitter.android,,,1
f013fbfb-90a5-452d-85ac-7105e5181249,sonia alvarado,2025-10-23,5,"es útil, para estar informado y comunicar, es una vía eficiente y efectiva.",positivo,com.twitter.android,,,0
82d88de3-f1f8-42be-97d6-0edc958bd783,Richardson Sánchez,2025-10-23,5,muy fluido y noticias de todo el mundo al instante,positivo,com.twitter.android,,,0
02933c00-5498-4f2b-8cc7-0b7019ac49c6,Ruben Rodriguez Z,2025-10-23,5,buena,positivo,com.twitter.android,,,0
01f9cac0-6b84-4857-891c-23db696c6d16,Geovani Sailema,2025-10-23,5,exelente,positivo,com.twitter.android,,,0
3789282b-a8ec-4525-a6d7-e7d7cd294d4c,Jaime Cortes un,2025-10-23,5,Esmuy buena Gracia a ligera buenas noticias,positivo,com.twitter.android,,,0
ae2265d4-b8cf-4044-bb41-2f920c13dcdd,Fabiola Gutiérrez,2025-10-23,5,Excelente,positivo,com.twitter.android,,,0
6a2b7061-646f-4355-83ed-1d3beaf78f95,JUAN FRANCISCO,2025-10-23,5,bien,positivo,com.twitter.android,,,0
cc7b7e16-5d93-4936-8c73-892e62f47806,LUIS MARCEL,2025-10-23,5,excelente,positivo,com.twitter.android,,,0
1252b867-314f-4e56-907c-e2eb40609be2,Edgar Coronando,2025-10-23,5,excelente,positivo,com.twitter.android,,,0
e2ff3d93-befe-408b-a52e-c37f3dabe6b0,Daniel Torres (cocteldt),2025-10-23,1,"Antes me era tan relevante la aplicación. Ahora todo es spam y bots (qué más bien es culpa de los usuarios, tal vez). Pero la razón por la que le pongo 1 estrella es por el filtrado de ""palabras silenciadas"" qué no sirve en absoluto, ya varias veces he silenciado algún # que es spam, incluso la aplicación así lo reconoce, pero simplemente no se le pega la gana filtrarlo de las tendencias, ¡hasta Excel filtra por palabras!!! Tanta inteligencia artificial y no pueden filtrar frases específicas!",negativo,com.twitter.android,,,0
297ba94a-5dd8-4e66-bd4f-79ba4960cd9c,Norberto Ramirez Guzman,2025-10-23,5,excelente,positivo,com.twitter.android,,,0
